load,tot,bot,ov,mio,vibration,vib_level,bulging,threat
1.185885688,92.71937067,96.71937067,980.777926,0.000799672,1143.408103,4,0,0
0.658114858,100.7417413,102.7417413,977.2790177,0.001401246,755.8285723,4,0,0
0.747304963,80.47130652,82.47130652,976.6242393,0.001563161,434.7231304,4,0,0
5.069455286,84.32873406,86.32873406,975.2130782,0.002171307,343.8033817,4,0,0
1.665721614,100.2416773,102.2416773,974.8811242,0.003406857,308.582131,4,1,0
1.476381386,94.32193863,96.32193863,971.9832964,0.003569716,261.8457424,4,0,0
2.591150597,94.80944821,97.80944821,971.4268149,0.003632182,262.8178125,4,0,0
1.365530463,73.2032418,77.2032418,970.2760985,0.00415533,140.1732177,4,0,0
0.491669772,65.89163979,69.89163979,968.8186723,0.004495793,105.7320653,4,0,0
1.067228739,123.5345383,126.5345383,968.1520171,0.004993142,323.3553174,4,1,0
1.640525618,69.81236011,73.81236011,967.6684423,0.005374037,99.09098762,4,0,0
3.60512513,99.12955086,103.1295509,967.2108391,0.006076156,173.9547205,4,1,0
1.548488872,118.0422483,122.0422483,966.8239707,0.006381174,233.5068842,4,1,0
1.992448787,65.04581243,68.04581243,966.2170128,0.006723185,68.13511965,4,0,0
2.140215085,65.55109004,67.55109004,966.0800975,0.006959225,65.86250615,4,0,0
0.549555702,75.23128992,79.23128992,965.9545113,0.010218676,60.38706615,4,0,0
2.017417704,126.2235748,129.2235748,965.8981846,0.010629048,158.8753517,4,1,0
2.171518841,84.82424473,86.82424473,965.4377814,0.010910071,69.92124522,4,0,0
0.742058763,75.63389762,77.63389762,965.3869392,0.011157346,54.51368884,4,0,0
1.40675725,65.19981804,68.19981804,964.5633424,0.011432307,40.32412569,3,0,0
1.561107519,78.92654957,80.92654957,964.2466645,0.012445259,53.2257809,4,0,0
4.116320128,74.62104942,78.62104942,964.0241993,0.01275558,47.71028954,4,0,0
1.859956383,65.00556378,69.00556378,962.9618576,0.01554186,29.97247115,3,0,0
5.125479804,71.56391962,75.56391962,962.5729378,0.016036654,35.03169795,3,0,0
0.676871695,77.5543946,80.5543946,962.1291212,0.017189911,37.7736243,3,0,0
2.390008296,65.2795719,67.2795719,962.1077291,0.019846904,23.0008581,3,0,0
3.792985025,110.6530638,112.6530638,961.9269144,0.020945977,61.86766854,4,1,0
0.682475368,114.6410024,118.6410024,961.777448,0.021470132,65.86663379,4,0,0
1.208494081,87.78217181,91.78217181,961.5725972,0.021915795,38.23185201,3,0,0
2.697909468,69.30589113,73.30589113,960.6868939,0.023438685,22.56284799,3,0,0
0.358016275,100.0331142,104.0331142,960.5393096,0.023755537,45.60740823,3,0,0
1.278161833,78.05991731,81.05991731,960.094979,0.023798039,27.69356572,3,0,0
2.037725734,73.86935016,76.86935016,959.8893292,0.024877608,23.77867821,3,0,0
2.106675528,69.10810846,73.10810846,959.5681509,0.025082117,20.99203488,3,0,0
2.537495914,122.835622,124.835622,959.0122461,0.025408462,62.9303763,4,1,0
5.093017312,65.09182209,68.09182209,958.8828025,0.025542074,18.09671253,3,0,0
1.164223383,89.94229846,91.94229846,958.7251434,0.026179991,32.94698921,3,0,0
3.037379707,123.1629404,125.1629404,958.6414172,0.026924124,59.72525821,4,1,0
2.016284978,75.25280546,77.25280546,958.0673986,0.02705137,22.43115463,3,0,0
1.851968957,77.86817351,80.86817351,957.7697746,0.030115503,21.83164092,3,0,0
0.11803335,65.70890779,67.70890779,957.7275289,0.030192783,15.38597204,3,0,0
3.416172136,96.41945723,100.4194572,957.4606822,0.030403404,33.26131296,3,1,0
0.956348347,88.68939754,92.68939754,957.3887034,0.031616183,27.1583904,3,0,0
3.61721417,74.20764658,77.20764658,957.0880688,0.032422592,18.46330051,3,0,0
0.274213652,91.26919207,94.26919207,956.8003423,0.033946799,26.48950494,3,0,0
1.050944164,87.53349267,91.53349267,956.329382,0.034616523,24.20267391,3,0,0
0.730256278,89.80033295,91.80033295,955.9856525,0.035567194,24.24494607,3,0,0
1.681461134,66.1875238,68.1875238,955.6243431,0.035815437,13.18631959,2,0,0
1.359342204,65.24620308,67.24620308,955.5645349,0.035959128,12.7689102,2,0,0
3.9154036,68.27927408,71.27927408,955.0774034,0.036944201,13.79327235,2,0,0
0.910376367,72.4716999,74.4716999,955.058019,0.038260764,14.76985792,3,0,0
1.424641576,65.41040988,68.41040988,954.9953172,0.038907639,12.04295161,2,0,0
0.026754797,85.33238597,88.33238597,954.5881456,0.04097885,19.26894978,3,0,0
3.566009567,68.83285741,71.83285741,954.1767816,0.042121377,12.30233473,2,0,0
2.997284051,73.86066577,75.86066577,953.6957785,0.042224286,13.91418254,2,0,0
4.001958059,67.59084559,69.59084559,953.5350429,0.042629873,11.57149018,2,0,0
4.052077977,81.04004967,85.04004967,953.3238651,0.042973462,16.82218486,3,0,0
0.092794299,65.19012146,69.19012146,953.1209129,0.043405628,10.90264426,2,0,0
2.199341512,92.3894495,95.3894495,952.9927901,0.044011891,21.01179119,3,0,0
3.367723262,73.83978986,76.83978986,952.9500945,0.044797603,13.29081731,2,0,0
4.591455458,94.82914418,97.82914418,952.8201635,0.045584447,21.35907595,3,0,0
0.399829845,109.8738519,113.8738519,952.7823225,0.046172598,28.44070494,3,0,0
2.845831576,65.39616117,69.39616117,952.4528333,0.04701222,10.13522661,2,0,0
0.978068687,125.8921886,128.8921886,952.0552895,0.048611376,35.0610808,3,1,0
0.55655532,100.668463,103.668463,952.0456674,0.049777877,22.02145166,3,0,0
1.196097509,71.36011869,73.36011869,951.6208512,0.050741973,10.84137318,2,0,0
4.343761024,78.0289482,81.0289482,951.3947222,0.051196311,12.98065319,2,0,0
0.407620719,85.36243407,88.36243407,950.6752994,0.051780953,15.32259117,3,0,0
1.199725028,80.30767552,84.30767552,950.4248444,0.052245066,13.63518744,2,0,0
1.70010491,120.3998543,124.3998543,950.2336125,0.053892515,29.24738196,3,1,0
2.608458946,117.6210775,120.6210775,949.9600262,0.05458517,27.36077299,3,1,0
0.055876264,108.0863619,112.0863619,949.7258379,0.055004548,23.1913922,3,0,0
1.96473779,81.7472074,83.7472074,949.6447938,0.055099434,13.08383121,2,0,0
1.462136302,118.3097183,121.3097183,949.5882672,0.056333794,26.82944383,3,1,0
0.466478657,77.03011834,79.03011834,949.2672695,0.057845688,11.08648047,2,0,0
1.249644511,86.36808852,89.36808852,948.9589006,0.058665807,13.86447161,2,0,0
2.374314633,72.11093032,76.11093032,948.8675123,0.059496535,9.721893972,2,0,0
0.387722707,115.3971346,119.3971346,948.8223758,0.059577573,24.37368551,3,0,0
0.009323845,89.5927718,91.5927718,948.8223336,0.06234467,13.87234704,2,0,0
